RdCDC1	4.196773	3.269977	3.158589
RdCDC2	0.327434979	0.408747086	
RdCDC3	40.20437	35.48852	40.7656
RdCDC4	2.23346	1.891172	3.247389
RdCDC5	8.220809	7.107195	7.617303
RdCDC6	27.46039	17.37909	
RdCDC7	22.30477	14.51307	20.95584
RdCDC8	0.752248	1.328023	0.919729
RdCDC9	10.40554	15.23461	14.21439
NcCDC1	30.70758086	28.85047079	37.80546663
NcCDC2	1.257469107	0.883249254	
NcCDC3	18.38583708	19.03421222	14.03077658
NcCDC4	3.682085064	2.908999314	
NnCDC1	9.451366657	10.05975285	
NnCDC2	7.162796509	5.619816237	8.941537697
NnCDC3	18.00746202	30.28482052	
