species	dsGFP_1	dsGFP_2	dsGFP_3	dsGFP_5	dsCDC9_2	dsCDC9_3	dsCDC9_4	dsCDC9_5
Arthrospira_sp_SH_MAG29	404229	1615951	532045	0	1623124	1262010	0	20023130
Cyanobacteria_bacterium_UBA8543	3376251857	7920349248	1073782999	2395675699	975857976	1666235667	2989813108	14009551464
Geovibrio_sp_	88277886424	2.08E+11	27649272481	52895724350	20086124605	43677028358	59156423734	3.75E+11
Fusobacterium_hominis	2144246	0	178431	834833	0	0	1085375	0
Spiroplasma_chrysopicola	5061842	19762107	8282736	3072458	4794203	4061909	5143201	40172459
Candidatus_Pelagibacter_sp_RS39	1660875	2421474	790185	2322717	755957	2048458	5524110	32761290
Pelagibacterales_bacterium_SAG_MED15	0	0	0	1465743	0	0	0	0
Pelagibacterales_bacterium_SAG_MED31	0	4452884	2186732	712456	0	625943	1863653	0
Candidatus_Puniceispirillum_sp_	11343943	44458399	4950962	11621697	1905535	10302762	16843149	84897533
Caulobacter_endophyticus	1.01E+12	2.39E+12	3.15E+11	6.44E+11	2.37E+11	4.96E+11	7.02E+11	4.44E+12
Caulobacter_sp_AP07	7289033	26586825	802323	7277233	767398	9647557	4899331	10279548
Arboricoccus_pini	5800355	5558586	2334986	3508100	2563506	3869202	0	25210285
Candidatus_Nucleicultrix_amoebiphila	4031531	3220735	1811223	3072458	1711848	455107	7581884	11536604
Caedimonadaceae_bacterium	12267290	19547832	2544541	8093468	2804700	3818593	6371556	52313638
Candidatus_Finniella_inopinata	73302215	67026451	7458733	23130891	20621594	39292774	22693916	237586558
Aurantimonas_manganoxydans	3.26E+11	7.34E+11	98764306427	1.92E+11	73371003005	1.50E+11	2.09E+11	1.32E+12
Blastochloris_viridis	19399481	43828005	3757913	7542871	4563254	8155205	14889636	64475587
Bosea_sp_AAP35	14990874	84466349	3446533	16409546	5325641	2322539	14624191	49761327
Ochrobactrum_sp_MR31	8127682	10134004	2055817	3351325	1532607	8015100	960495	157914210
Devosia_marina	0	2813443	0	903896	0	1585310	0	0
Methyloligella_sp_	21875630	61374124	7724849	23322293	12701531	15088743	24250195	171738910
Bradyrhizobium_uaiense	1647459	0	183789	431817	714423	0	553894	4690426
Mesorhizobium_sp_M1E_F_Ca_ET_063_01_1_1	1681410	0	569280	1961396	0	578697	0	14774237
Mesorhizobium_sp_M2D_F_Ca_ET_145_01_1_1	1418010	0	0	2210989	0	0	0	0
