species	dsGFP_1	dsGFP_2	dsGFP_3	dsGFP_5	dsCDC9_2	dsCDC9_3	dsCDC9_4	dsCDC9_5
Stenotrophomonas_nitritireducens	1874300	6128065	420814	3860247	1414826	2135071	3216292	13668553
Xanthomonadaceae_bacterium_XH05	6443329	5134032	1609500	6115173	4391748	0	2148973	4463634
Gammaproteobacteria_bacterium_2W06	64430266	98976637	8976204	34049045	16939286	26836876	37146368	233445395
methanotrophic_bacterial_endosymbiont_of_Bathymodiolus_sp_	1822085	11260448	1242101	0	0	0	923275	32611061
unclassified_Gammaproteobacteria	4963993079	11572328303	1719299583	3176893305	1817308527	3273900090	6056671407	17607600098
unclassified_Pseudomonadota	1.19E+12	2.69E+12	3.63E+11	7.07E+11	2.61E+11	5.62E+11	7.34E+11	4.91E+12
Leptospira_sp_Pond_2020	0	18977630	738750	13355651	354730	748168	0	19246711
Candidatus_Gallitreponema_excrementavium	5096648	20999095	1924387	6490352	911180	3197677	2890610	19302167
Pseudodesulfovibrio_sp_zrk46	330038593	808881299	80151306	203713365	86276388	182268536	154256470	1454121739
bacterium_LRH843	49106202	68573824	15127616	33379287	11418222	31639691	52551509	241397333
